word,type,uses
"Maggie Flynn","name",1
"Shanna Dell","name",1
"Bolton Street","street",1
"B - A Bolton Hill Bistro","establishment",1
"Grant A","name",1
"Pure Romance By IrinaB","name",1
"Sean Johnson","name",1
"Neal Patrick Garith","name",1
"John Garner","name",1
"The Oceanaire Seafood Room","establishment",1
"Nicole Thier","name",1
"Lawrence Northup","name",1
"Thaddeus Harrington","name",1
"Chris Jackson","name",1
"Zachary Walton","name",1
"Fogo de Chão Brazilian Steakhouse","establishment",1
"Vedra Moon","name",1
"Chris Mori","name",1
"Chelsea Harris","name",1
"Ebony Johnson","name",1
"Melida Tatiana","name",1
"Eastern Avenue","street",1
"McCormick & Schmick's Seafood & Steaks","establishment",1
"Tara Steverson","name",1
"jennie o","name",1
"James Hodge","name",1
"Alyssa Keebler","name",1
"William Slogan","name",1
"Lancaster Street","street",1
"Charleston","establishment",1
"Alicia McNee","name",1
"John Papanicolaou","name",1
"Nathan Sinclair","name",1
"Christopher Coe","name",1
"Lighthouse Point East","street",1
"Bo Brooks Restaurant","establishment",1
"luke hershman","name",1
"Aaron Dobbins Jr.","name",1
"Darrius Sympton","name",1
"Kemi Jo","name",1
"Heath Myers","name",1
"Insulator Drive","street",1
"Nick's Fish House","establishment",1
"Seth Galentine","name",1
"Olivier N","name",1
"Mariya Shchesyuk","name",1
"Maurice Hunon","name",1
"Eric Gunderson","name",1
"Panera Bread","establishment",1
"Eric P","name",1
"Marlon Riddle","name",1
"Ryan Foy","name",1
"Morgan Cole","name",1
"Pazo","establishment",1
"Ricky Bell","name",1
"Will Gilchrist, Jr.","name",1
"Danny Andazola","name",1
"Meag Regina","name",1
"Warren Murray","name",1
"South Charles Street","street",1
"Mother's Federal Hill Grille","establishment",1
"Erin Plese","name",1
"Adam Cain","name",1
"Bryan Brothers","name",1
"Joe Lishok","name",1
"sabrina bland","name",1
"West Higgins Road","street",7
"Rosemont","city",11
"Shoeless Joe's Ale House & Grille","establishment",1
"Jay Kuruvilla","name",1
"Andy Weigel","name",1
"Jon Anderson","name",1
"Adam H","name",1
"Ryan Helmer","name",1
"Bessie Coleman Dr","street",1
"Chicago","city",5
"Berghoff Cafe","establishment",1
"Spencer Wade","name",1
"Hannah-Grace Broadwell","name",1
"John Frame","name",1
"D Pham","name",1
"Masayoshi Tanaka","name",1
"Ram Restaurant & Brewery","establishment",1
"Bart B","name",1
"Donald Mendelson","name",1
"George Worsham","name",1
"Cruise Russo","name",1
"Abba Bernard","name",1
"North River Road","street",2
"Gibsons Bar & Steakhouse","establishment",1
"Vince Castro","name",1
"Isa Murad","name",1
"Karl Stearns","name",1
"Steve M","name",1
"Scott Baker","name",1
"Bessie Coleman Drive","street",1
"Tortas Frontera","establishment",1
"Lorin Freedman","name",1
"TianTian Eats","name",1
"Carlos Paz","name",1
"Kelly Rice","name",1
"Liana Kolodenker","name",1
"TGI Fridays","establishment",1
"Riigz V","name",1
"Abe Abrahamian","name",1
"Cindy Tong","name",1
"Jesse Salazar","name",1
"Michael Liden","name",1
"Bryn Mawr Avenue","street",1
"Morton's The Steakhouse","establishment",1
"Mark Respress","name",1
"Nicholas Irmo","name",1
"Chad Cockcroft","name",1
"Nathan Dunn","name",1
"Harry Caray's Italian Steakhouse","establishment",1
"Dodd Vernon","name",1
"Aneas Wiley","name",1
"Seth Long","name",1
"Rachael Gibson","name",1
"Benjamin Johnson","name",1
"Chicago Marriott O'Hare","establishment",1
"Sharon Braun","name",1
"Piper Madison","name",1
"Alex Bauer","name",1
"J Solsol Jr","name",1
"adam kirschbaum","name",1
"Foster Avenue","street",1
"Maria's Mexican Restaurant","establishment",1
"Darin Forbes","name",1
"Cyndi Almada","name",1
"Robert Stebbins","name",1
"Billy Bryant","name",1
"Chris Knight","name",1
"Laredo's Restaurant","establishment",1
"Seth Cannon","name",1
"Ajay Patel","name",1
"kristina fixmer","name",1
"Erin Daniels","name",1
"Addam Lambert","name",1
"North Cumberland Avenue","street",2
"Norridge","city",2
"Basilico Ristorante","establishment",1
"wnorowsk","name",1
"Anthony Martorina","name",1
"Mannheim Road","street",1
"jDub You","name",1
"Christopher Walters","name",1
"Jeff Kresser","name",1
"AllonJay D.","name",1
"Thomas Rossi","name",1
"Giordano's","establishment",1
"Brad Corwin","name",1
"Veronica","name",1
"Christopher Aune","name",1
"Mike Tofanelli","name",1
"shalts hedrick","name",1
"McDonald's","establishment",1
"Dave Salvi","name",1
"jesse calderon","name",1
"Adders Otter","name",1
"Juan Alvarado","name",1
"D nes","name",1
"Higgins Road","street",1
"Park Ridge","city",1
"Mac's Restaurant","establishment",1
"Brian Clark","name",1
"TONY STARK","name",1
"Judd Bowers","name",1
"Brendon Buxton","name",1
"Melissa Raef","name",1
"Lin's Mandarin Chinese & Asian Restaurant","establishment",1
"Brandi Padula","name",1
"anthony long","name",1
"Dave Y","name",1
"David Poff","name",1
"Adam Tyler","name",1
"North O'Hare Fld","street",1
"Gaslight Club Inc","establishment",1
"Sam Maxey","name",1
"Park Place","street",1
"Hofbräuhaus Chicago","establishment",1
"Chris D","name",1
"Mike Brodecki","name",1
"Anton Khakhalin","name",1
"Erik Seyring","name",1
"Mike Pollak","name",1
"Addison Avenue","street",1
"Franklin Park","city",1
"Al & Joe's","establishment",1
"Tomasz Ustupski","name",1
"Jim Schranz","name",1
"Colleen Kelley","name",1
"Daniel Rodriguez","name",1
"Larry Zidek","name",1
"West Prien Lake Road","street",11
"Lake Charles","city",20
"Darrell Moore","name",1
"Ange Antonson","name",1
"Victoria's Secret","establishment",2
"Dillard's","establishment",1
"Buckle","establishment",1
"Raedella Peloquin","name",1
"The Children's Place","establishment",1
"Men's Wearhouse","establishment",2
"Tara Ellender","name",1
"Audrey Williams","name",1
"Sharhonda McPheters","name",1
"Express - Prien Lake Mall","establishment",1
"Sears","establishment",2
"Justice","establishment",1
"Journeys","establishment",1
"Hot Topic","establishment",1
"Pujo Street","street",1
"Perfect Fit","establishment",1
"JCPenney","establishment",2
"Kids Foot Locker","establishment",1
"Ryan Street","street",2
"Bella's Bridal Boutique & Mr Formal","establishment",1
"Sierrah hostetler","name",1
"tailor ray","name",1
"Vincent Moore","name",2
"M B Rich Jewelry Inc","establishment",1
"Wet Seal","establishment",2
"Rhinestone Runway","establishment",1
"beth comb","name",1
"Megan Bobbitt","name",1
"Auburn Boulevard","street",1
"Citrus Heights","city",16
"Aaron Grace","name",2
"Jason Carver","name",2
"Cameron Davis","name",1
"Bbenb B","name",1
"Jenn Paisley","name",1
"Citrus Hts","city",1
"Tiffany K","name",1
"kristina mckee","name",1
"patrice smith","name",1
"robert estrada","name",1
"Tilly's","establishment",1
"Sunrise Boulevard","street",2
"Ashley Mason","name",1
"Greenback Lane","street",2
"Once Upon A Child","establishment",1
"Jomanna Archer","name",1
"chris roe","name",1
"Tupelo Drive","street",1
"FreeStyle Clothing Exchange","establishment",1
"King Cali","name",1
"Meagan Walker","name",1
"Janie H.","name",1
"Carter's","establishment",1
"Birdcage Centre Lane","street",2
"Sports Authority Sporting Goods","establishment",1
"Stephenie Gomez","name",1
"Lynn LaShondra","name",1
"angelique coleman","name",1
"Zumiez","establishment",1
"Stephen Gierek","name",1
"Express - Sunrise Center","establishment",1
"Irina Pustovoytova","name",1
"Sunrise Mall","street",3
"Orangevale","city",1
"Brandon Valencia","name",1
"Greg Cook","name",1
"Kathryn Lano","name",1
"Q. Qniform Q.","name",1
"James Spearing","name",1
"Frederick's of Hollywood","establishment",1
"Sunrise Avenue","street",1
"Roseville","city",1
"Tadpoles","establishment",1
"Lindsey Robinson","name",1
"Levi Zortman","name",1
"Manzanita Avenue","street",1
"Carmichael","city",1
"Aaron Klapheck","name",1
"Brandon Grob","name",1
"Shoe Palace","establishment",1
"Joyce Beattie","name",1
"Larry Goss","name",1
"East 900 South","street",1
"Salt Lake City","city",19
"Centered City Yoga","establishment",1
"Amber Gregg-Kerbein","name",1
"Morgan Cesa","name",1
"Brooke Horejsi","name",1
"Pamela Westwood Kelley","name",1
"Susanna Johnson","name",1
"South Highland Drive","street",1
"CorePower Yoga","establishment",1
"Athena Bee","name",1
"Sherri Candland","name",1
"José García","name",1
"Selma Moric","name",1
"Anichka Simonyan","name",1
"South 1100 East","street",2
"Bikram Yoga SLC","establishment",1
"Peggy Jorquera","name",1
"Robert Arnold","name",1
"Sarah Quinn","name",1
"Matthew Mulholland","name",1
"John Vigil","name",1
"South 400 West","street",1
"Front Climbing Club","establishment",1
"Joel Kushlan","name",1
"Travis tHoenshell","name",1
"Colt R","name",1
"Steven Meitler","name",1
"Connor England","name",1
